S_NO,VEHICLE_NO,IMEI1,IMEI2,ICCID,MDT_NUMBER,VEHICLE_TYPE,RO,PIU,TOLL_NAME
941,HR29BC0629,350284942962776,350776872962775,8991102406367900000,5754226687648,crane,Bhopal,Bhopal,Sonkacch
942,CG04NM2098,350284942479631,350776872479630,8991102406367860000,5754226683580,ambulance,Bhubaneswar,Sambalpur,Balangir
943,MH12WK2716,350284942477171,350776872477170,8991102406367860000,5754226683591,crane,Mumbai,Ahmednagar,Badewadi
944,GJ09AU1032,350284942481512,350776872481511,8991102406367860000,5754226683590,crane,Mumbai,Ahmednagar,Nepti
945,RJ14PF2576,350284942957024,350776872957023,8991102406367860000,5754226683581,ambulance,Bhubaneswar,Sambalpur,Kadaligarh
946,MH17AG7701,350284942957248,350776872957247,8991102406367860000,5754226683589,patrol vehicle,Mumbai,Ahmednagar,Badewadi
947,RJ14PF2577,350284942956976,350776872956975,8991102406367900000,5754226687614,ambulance,Bhubaneswar,Sambalpur,Nunmath
948,CG04NM2105,350284942930674,350776872930673,8991102406367900000,5754226687624,ambulance,Bhubaneswar,Sambalpur,Govindpur
949,MH46AF2512,350284942957230,350776872957239,8991102406367860000,5754226683603,patrol vehicle,Mumbai,Ahmednagar,Dumberwadi
950,MH16CD6996,350284942413770,350776872413779,8991102406391710000,5754228294705,patrol vehicle,Mumbai,Ahmednagar,Banpimpri Toll Plaza
951,GJ09DA0948,350284942413697,350776872413696,8991102406391710000,5754228294779,crane,Mumbai,Ahmednagar,Banpimpri Toll Plaza
952,MH16CD7336,350284942414976,350776872414975,8991102406391710000,5754228294842,patrol vehicle,Mumbai,Ahmednagar,Banpimpri Toll Plaza
953,MH16CD7484,350284942414679,350776872414678,8991102406391710000,5754228294819,ambulance,Mumbai,Pune,Patas
954,GJ09AU1327,350284942482072,350776872482071,8991102406391710000,5754228294814,crane,Mumbai,Ahmednagar,Nepti
955,MH16CD7523,350284942479557,350776872479556,8991102406391710000,5754228294809,ambulance,Mumbai,Ahmednagar,Nepti
956,MH16CD7814,350284942481355,350776872481354,8991102406391710000,5754228294712,ambulance,Mumbai,Ahmednagar,Banpimpri Toll Plaza
957,CG04NM2120,350284942480159,350776872480158,8991102406368000000,5754226697656,ambulance,Bhubaneswar,Sambalpur,Rangamatia
958,RJ11PA6565,350284942478773,350776872478772,8991102406351340000,5754226674620,ambulance,Lucknow-UP West,Kanpur,Jajmau Fort
959,MH42BF5368,350284942479417,350776872479416,8991102406391710000,5754228294736,ambulance,Mumbai,Pune,Patas
960,MH42T1178,350284942955481,350776872955480,8991102406391710000,5754228294734,crane,Mumbai,Pune,Patas
961,MH42T1180,350284942956208,350776872956207,8991102406391710000,5754228294739,crane,Mumbai,Pune,Sardewadi Indapur
962,MH42BF5682,350284942955051,350776872955050,8991102406391710000,5754228294837,ambulance,Mumbai,Pune,Sardewadi Indapur
963,GJ03BW0082,350284942957172,350776872957171,8991102406367860000,5754226683579,ambulance,Bhubaneswar,Chandikhole,Padmanavpur
964,OD02AY2251,350284942957800,350776872957809,8991102406367900000,5754226687713,patrol vehicle,Bhubaneswar,Chandikhole,Padmanavpur
965,OD11V2211,350284942950151,350776872950150,8991102406367900000,5754226687716,crane,Bhubaneswar,Chandikhole,Padmanavpur
966,MP41HA1593,350284942418043,350776872418042,8991102406391710000,5754228294765,crane,Bhopal,Ujjain,Rojwas-TP II
967,MP41GA3042,350284942418217,350776872418216,8991102406391710000,5754228294793,patrol vehicle,Bhopal,Ujjain,Rojwas-TP II
968,MP41AC5941,350284942480787,350776872480786,8991102406391710000,5754228294766,ambulance,Bhopal,Ujjain,Rojwas-TP II
969,MP41AC6370,350284942953742,350776872953741,8991102406391710000,5754228294762,ambulance,Bhopal,Ujjain,Rojwas-TP II
970,MH14LL2877,350284942478757,350776872478756,8991102406391710000,5754228294791,patrol vehicle,Mumbai,Pune,Chalakwadi
971,MH14LL2878,350284942478856,350776872478855,8991102406391710000,5754228294772,patrol vehicle,Mumbai,Pune,Hivargaon Pavsa
972,MH14LU2591,350284942479409,350776872479408,8991102406391710000,5754228294771,crane,Mumbai,Pune,Hivargaon Pavsa
973,MH14LL5564,350284942479599,350776872479598,8991102406391710000,5754228294796,ambulance,Mumbai,Pune,Chalakwadi
974,MH14LL5568,350284942477189,350776872477188,8991102406391710000,5754228294798,ambulance,Mumbai,Pune,Hivargaon Pavsa
975,JK02CX1509,350284942479540,350776872479549,8991102406367990000,5754226697256,patrol vehicle,Jammu,Udhampur,Bann
976,JK02BG5916,350284942982667,350776872982666,8991102406367990000,5754226697260,Crane,Jammu,Udhampur,Bann
977,JK02DK0332,350284942422805,350776872422804,8991102406367990000,5754226697257,Crane,Jammu,Udhampur,Bann
978,JK02BE1593,350284942422615,350776872422614,8991102406367990000,5754226697261,Ambulance,Jammu,Udhampur,Bann
979,UP93CT6167,350284942982519,350776872982518,,,crane,Lucknow-UP West,Aligarh,KIRATPUR
980,MP41AC6369,350284942982642,350776872982641,8991102406391710000,5754228294792,ambulance,Bhopal,Ujjain,Chapra-TP I
981,MP20GA6619,350284942982675,350776872982674,8991102406391710000,5754228294788,crane,Bhopal,Indore,Indore Dewas-Indore Bypass
982,RJ14PF2281,350284942440419,350776872440418,8991102406391710000,5754228294760,ambulance,Bhopal,Indore,Indore Dewas-Indore Bypass
983,MP39H3763,350284942424512,350776872424511,8991102406391710000,5754228294761,crane,Bhopal,Ujjain,Chapra-TP I
984,MP20ZE8483,350284942485992,350776872485991,8991102406391710000,5754228294786,patrol vehicle,Bhopal,Indore,Indore Dewas-Indore Bypass
985,MP41GA3045,350284942487188,350776872487187,8991102406391710000,5754228294797,patrol vehicle,Bhopal,Ujjain,Chapra-TP I
986,MA1RY2JNKS5D35200,350284942955762,350776872955761,8991102406367940000,5754226692209,patrol vehicle,Nagpur,Aurangabad,Pargaon
987,HR67F8216,350284942951654,350776872951653,8991102406368000000,5754226697650,patrol vehicle,Nagpur,Nagpur-I,Padalshingi
988,MH23AU3377,350284942950599,350776872950598,8991102406368000000,5754226697659,ambulance,Nagpur,Nagpur-I,Padalshingi
989,HR67F7465,350284942957669,350776872957668,8991102406368000000,5754226697660,patrol vehicle,Nagpur,Aurangabad,Bhokarwadi Malewadi
990,T0425PB4952C,350284942957768,350776872957767,8991102406368000939U,5754226697658,ambulance,Nagpur,Aurangabad,Pargaon
991,MH23AU1780,350284942951647,350776872951646,8991102406368000000,5754226697649,ambulance,Nagpur,Aurangabad,Bhokarwadi Malewadi
992,HR46G3998,350284942955788,350776872955787,8991102406368010000,5754226698951,ambulance,Delhi,Ghaziabad,Kashi
993,CKIPL016AR1200706,350284942955739,350776872955738,8991102406368010000,5754226698952,crane,Delhi,Ghaziabad,Kashi
994,MP46ZD4776,350284942413812,350776872413811,8991102406391710000,5754228294769,patrol vehicle,Bhopal,Indore,Jamli
995,MP09AB7909,350284942413838,350776872413837,8991102406391710000,5754228294768,ambulance,Bhopal,Indore,Jamli
996,MP09AD7840,350284942417672,350776872417671,8991102406391710000,5754228294778,ambulance,Bhopal,Indore,Khalghat-Indore - Khalghat
997,MP09GJ2384,350284942402146,350776872402145,8991102406391710000,5754228294776,patrol vehicle,Bhopal,Indore,Sonvay-Indore - Khalghat
998,MP46ZD4741,350284942444395,350776872444394,8991102406391710000,5754228294780,patrol vehicle,Bhopal,Indore,Jamli
999,MP46ZD4794,350284942414208,350776872414207,8991102406391710000,5754228294795,ambulance,Bhopal,Indore,Jamli
1000,MP09AD7839,350284942481090,350776872481099,8991102406391710000,5754228294782,ambulance,Bhopal,Indore,Sonvay-Indore - Khalghat
1001,MP11G0337,350284942478880,350776872478889,,,crane,Bhopal,Indore,Jamli
1002,MP04B7080,350284942406550,350776872406559,8991102406391710000,5754228294783,crane,Bhopal,Indore,"Toll_LOC_Cube Stop Highway Rest Area, Bhodal - Location"
1003,UP53GT2958,350284942486065,350776872486064,8991102406367900000,5754226687774,crane,Patna,Motihari,Barhima Toll Plaza
1004,BR28GB3850,350284942485034,350776872485033,8991102406367900000,5754226687772,patrol vehicle,Patna,Motihari,Barhima Toll Plaza
1005,BR01GJ8575,350284942488749,350776872488748,8991102406367900000,5754226687775,Crane,Patna,Motihari,Sugauli TP
1006,RJ11PA5919,350284942485299,350776872485298,8991102406367900000,5754226687764,ambulance,Patna,Motihari,Sugauli TP
1007,BR01GM0021,350284942477197,350776872477196,8991102406367900000,5754226687776,patrol vehicle,Patna,Motihari,Sugauli TP
1008,HR38AB3725,350284942478914,350776872478913,8991102406367900000,5754226687773,ambulance,Patna,Motihari,Barhima Toll Plaza
1009,BR28GB2241,350284942480555,350776872480554,8991102406367900000,5754226687786,patrol vehicle,Patna,Motihari,Barhima Toll Plaza
1010,UP37AT3335,350284942478989,350776872478988,8991102406368010000,5754226698950,ambulance,Delhi,Ghaziabad,Chhajarsi
1011,UP37AT4992,350284942957198,350776872957197,8991102406368010000,5754226698949,crane,Delhi,Ghaziabad,Chhajarsi
1012,UP37BT1127,350284942957875,350776872957874,8991102406368010000,5754226698948,patrol vehicle,Delhi,Ghaziabad,Chhajarsi
1013,MH12QW8825,350284942955838,350776872955837,8991102406391710000,5754228294764,patrol vehicle,Mumbai,Pune,Khedshivapur
1014,MH11BA1973,350284942956596,350776872956595,8991102406391710000,5754228294830,crane,Mumbai,Pune,Anewadi
1015,MH13B7281,350284942957909,350776872957908,8991102406391710000,5754228294892,ambulance,Mumbai,Pune,Anewadi
1016,MH34BZ1902,350284942930757,350776872930756,8991102406391710000,5754228294852,patrol vehicle,Mumbai,Pune,Anewadi
1017,MH506477,350284942957214,350776872957213,8991102406391710000,5754228294708,patrol vehicle,Mumbai,Pune,Anewadi
1018,MH12SF0936,350284942946977,350776872946976,8991102406391710000,5754228294903,ambulance,Mumbai,Pune,Khedshivapur
1019,MH12QG9690,350284942397726,350776872397725,8991102406391710000,5754228294900,crane,Mumbai,Pune,Khedshivapur
1020,RJ11PA6858,350284942397437,350776872397436,8991102406391710000,5754228294883,ambulance,Mumbai,Pune,Shendre Fata
1021,JK13F4288,350284942439304,350776872439303,8991102406367990000,5754226697206,ambulance,Jammu,Ramban,Kachkoot
1022,JK03B1612,350284942480498,350776872480497,8991102406367990000,5754226697211,crane,Jammu,Ramban,Kachkoot
1023,JK13E9234,350284942405230,350776872405239,8991102406367990000,5754226697212,patrol vehicle,Jammu,Ramban,Kachkoot
1024,JK13G1781,350284942404324,350776872404323,8991102406367990000,5754226697203,Crane,Jammu,Ramban,Kachkoot
1025,RJ11PA6922,350284942397387,350776872397386,8991102406367990000,5754226697204,ambulance,Jammu,Ramban,Kachkoot
1026,JK13E9264,350284942439163,350776872439162,8991102406367990000,5754226697205,patrol vehicle,Jammu,Ramban,Kachkoot
1027,RJ14PF1955,350284942961091,350776872961090,8991102406391710000,5754228294802,ambulance,Kolkata,Purulia,Tetla
1028,RJ14PF1957,350284942969383,350776872969382,8991102406391710000,5754228294800,ambulance,Kolkata,Purulia,Belkuri
1029,RJ11PA6739,350284942955135,350776872955134,8991102406368010000,5754226698940,ambulance,Mumbai,Nashik,Pimparkhed Tp
1030,HR69E4484,350284942485117,350776872485116,8991102406367900000,5754226687761,ambulance,Chandigarh,Sonipat,Bhagan
1031,HR69E9863,350284942483971,350776872483970,8991102406367900000,5754226687758,ambulance,Chandigarh,Sonipat,Bhagan
1032,RJ52GB3680,350284942969763,350776872969762,8991102406367900000,5754226687757,patrol vehicle,Chandigarh,Sonipat,Bhagan
1033,RJ52GB3681,350284942956521,350776872956520,8991102406367900000,5754226687760,patrol vehicle,Chandigarh,Sonipat,Bhagan
1034,MP11BE0314,350284942483955,350776872483954,8991102406391710000,5754228294790,patrol vehicle,Bhopal,Indore,Dattigaon
1035,MP09GF5744,350284942485224,350776872485223,,,crane,Bhopal,Indore,Dattigaon
1036,WB74BA7709,350284942960580,350776872960589,8991102406391710000,5754228294804,crane,Kolkata,Purulia,Belkuri
1037,GJ16V7448,350284942969508,350776872969507,8991102406391710000,5754228294775,ambulance,Bhopal,Indore,Dattigaon
1038,WB41J9515,350284942960788,350776872960787,8991102406391710000,5754228294825,patrol vehicle,Kolkata,Durgapur,Palsit
1039,MH48CB9927,350284942405180,350776872405189,8991102406391710000,5754228294849,patrol vehicle,Mumbai,Thane,KHANIVADE
1040,MH48CK3207,350284942397395,350776872397394,8991102406391710000,5754228294874,crane,Mumbai,Thane,KHANIVADE
1041,MH48CJ9927,350284942397734,350776872397733,8991102406391710000,5754228294722,patrol vehicle,Mumbai,Thane,Charoti
1042,MH04DT2160,350284942415080,350776872415089,8991102406391710000,5754228294879,crane,Mumbai,Thane,Chinchoti
1043,MH48CK1870,350284942413804,350776872413803,8991102406391710000,5754228294702,crane,Mumbai,Thane,Charoti
1044,RJ11PA6747,350284942414927,350776872414926,8991102406391710000,5754228294835,ambulance,Mumbai,Nashik,Chandwad
1045,RJ14PF9889,350284942982485,350776872982484,8991102406391710000,5754228294887,ambulance,Mumbai,Thane,KHANIVADE
1046,MH48CY9927,350284942423274,350776872423273,8991102406391710000,5754228294933,patrol vehicle,Mumbai,Thane,Chinchoti
1047,WB65E0738,350284942982840,350776872982849,8991102406391710000,5754228294853,patrol vehicle,Kolkata,Malda,Chakseherdi-Gajol Bagsarai
1048,WB57F2957,350284942982477,350776872982476,8991102406391710000,5754228294753,ambulance,Kolkata,Malda,Chakseherdi-Gajol Bagsarai
1049,WB66AP9845,350284942981586,350776872981585,8991102406391710000,5754228294851,crane,Kolkata,Malda,Lakshmipur
1050,WB41K0209,350284942416773,350776872416772,8991102406391710000,5754228294803,ambulance,Kolkata,Durgapur,Palsit
1051,WB79B5104,350284942968955,350776872968954,8991102406391710000,5754228294807,crane,Kolkata,Malda,Chakseherdi-Gajol Bagsarai
1052,WB66W8547,350284942955200,350776872955209,8991102406391710000,5754228294758,crane,Kolkata,Malda,Chakseherdi-Gajol Bagsarai
1053,WB65H0845,350284942966918,350776872966917,,,patrol vehicle,Kolkata,Malda,Lakshmipur
1054,WB57F2950,350284942969391,350776872969390,8991102406391710000,5754228294794,ambulance,Kolkata,Malda,Lakshmipur
1055,WB66W8548,350284942968963,350776872968962,8991102406391710000,5754228294863,crane,Kolkata,Malda,Lakshmipur
1056,RJ13EA2470,350284942969193,350776872969192,8991102406367860000,5754226683571,crane,Jaipur,Hanumangarh,3M
1057,RJ31GB1522,350284942960887,350776872960886,8991102406367860000,5754226683568,patrol vehicle,Jaipur,Hanumangarh,SANGARIA-16MKS/3NGR
1058,RJ13GC2589,350284942955705,350776872955704,8991102406367860000,5754226683573,patrol vehicle,Jaipur,Hanumangarh,3M
1059,RJ02GB1646,350284942955812,350776872955811,8991102406367900000,5754226687753,crane,Chandigarh,Sonipat,Hassangarh Toll Plaza
1060,HR46F1436,350284942480779,350776872480778,8991102406367900000,5754226687756,patrol vehicle,Chandigarh,Sonipat,Hassangarh Toll Plaza
1061,RJ13PA8798,350284942405404,350776872405403,8991102406367860000,5754226683574,ambulance,Jaipur,Hanumangarh,3M
1062,RJ31PA5292,350284942397411,350776872397410,8991102406367860000,5754226683567,ambulance,Jaipur,Hanumangarh,SANGARIA-16MKS/3NGR
1063,HR42H7898,350284942397510,350776872397519,8991102406367900000,5754226687759,Crane,Chandigarh,Sonipat,Bhagan
1064,HR46G9199,350284942397429,350776872397428,8991102406367900000,5754226687751,ambulance,Chandigarh,Sonipat,Hassangarh Toll Plaza
1065,RJ31EA1242,350284942404076,350776872404075,8991102406367860000,5754226683569,crane,Jaipur,Hanumangarh,SANGARIA-16MKS/3NGR
1066,RJ13GC2590,350284942478476,350776872478475,8991102406367860000,5754226683575,patrol vehicle,Jaipur,Hanumangarh,3M
1067,RJ13PA8799,350284942397379,350776872397378,8991102406367860000,5754226683572,ambulance,Jaipur,Hanumangarh,3M
1068,RJ13EA2646,350284942480563,350776872480562,,,crane,Jaipur,Hanumangarh,3M
1069,RJ11PA6735,350284942478203,350776872478202,8991102406391710000,5754228294838,ambulance,Kolkata,Malda,Barai TP
1070,CG04NM9087,350284942478435,350776872478434,8991102406391710000,5754228294895,ambulance,Kolkata,Malda,Barai TP
1071,GJ10K1278,350284942397403,350776872397402,8991102406391710000,5754228294844,crane,Kolkata,Malda,Barai TP
1072,JK18A1892,350284942978723,350776872978722,8991102406367990000,5754226697259,Ambulance,Jammu,Ramban,Lamber
1073,JK02DH5144,350284942979358,350776872979357,8991102406367990000,5754226697208,patrol vehicle,Jammu,Ramban,Lamber
1074,JK03N3127,350284942981701,350776872981700,8991102406367990000,5754226697209,Crane,Jammu,Ramban,Lamber
1075,RJ11PA4867,350284942980026,350776872980025,8991102406367900000,5754226687770,ambulance,Patna,Darbhanga,Toll_Devikuli Toll Plaza
1076,RJ11PA6678,350284942979432,350776872979431,8991102406367900000,5754226687784,ambulance,Patna,Darbhanga,Mahanth Maniyari
1077,RJ11PA5903,350284942980059,350776872980058,8991102406367900000,5754226687782,ambulance,Patna,Darbhanga,Raje-Old Naraur
1078,BR33GB3049,350284942480506,350776872480505,8991102406367900000,5754226687783,Crane,Patna,Darbhanga,Raje-Old Naraur
1079,RJ11PA6679,350284942414307,350776872414306,8991102406367900000,5754226687785,ambulance,Patna,Darbhanga,Mahanth Maniyari
1080,RJ11PA6676,350284942982808,350776872982807,8991102406367900000,5754226687765,ambulance,Patna,Darbhanga,Maithi
1081,UP15GT2624,350284942982790,350776872982799,8991102406367900000,5754226687709,ambulance,Jaipur,Hanumangarh,Jaitpur-Rajasthan
1082,RJ31GB1521,350284942982659,350776872982658,8991102406367900000,5754226687711,patrol vehicle,Jaipur,Hanumangarh,CHOHILANWALI-29NDR/31NDR
1083,RJ31EA1295,350284942986239,350776872986238,8991102406367900000,5754226687710,crane,Jaipur,Hanumangarh,CHOHILANWALI-29NDR/31NDR
1084,RJ31PA5289,350284942982691,350776872982690,8991102406367860000,5754226683566,ambulance,Jaipur,Hanumangarh,CHOHILANWALI-29NDR/31NDR
1085,RJ31EA1293,350284942429933,350776872429932,8991102406367900000,5754226687707,crane,Jaipur,Hanumangarh,Jaitpur-Rajasthan
1086,RJ31GB1520,350284942488277,350776872488276,8991102406367900000,5754226687708,patrol vehicle,Jaipur,Hanumangarh,Jaitpur-Rajasthan
1087,UK18L9505,350284942961034,350776872961033,8991102406367900000,5754226687682,patrol vehicle,Jaipur,Hanumangarh,Malkisar
1088,ACF0F210CL0750287,350284942954690,350776872954699,8991102406367900000,5754226687683,Crane,Jaipur,Hanumangarh,Malkisar
1089,MH04GP0009,350284942429719,350776872429718,8991102406391710000,5754228294909,ambulance,Mumbai,Nashik,Arjunali
1090,JH10AS1718,350284942969755,350776872969754,8991102406391710000,5754228294806,ambulance,Kolkata,Durgapur,Beliyad
1091,WB66R1454,350284942967668,350776872967667,8991102406391710000,5754228294854,crane,Kolkata,Malda,Kishorpur-Chandermore
1092,WB94B6722,350284942955770,350776872955779,8991102406391710000,5754228294855,crane,Kolkata,Malda,Kishorpur-Chandermore
1093,WB944589,350284942429040,350776872429049,8991102406391710000,5754228294864,crane,Kolkata,Malda,Gopgram-Shibpur
1094,WB934255,350284942960051,350776872960050,8991102406391710000,5754228294859,patrol vehicle,Kolkata,Malda,Gopgram-Shibpur
1095,WB57F1347,350284942404076,350776872404075,8991102406391710000,5754228294858,patrol vehicle,Kolkata,Malda,Kishorpur-Chandermore
1096,WB39B5934,350284942930252,350776872930251,8991102406391710000,5754228294861,ambulance,Kolkata,Malda,Gopgram-Shibpur
1097,WB65D5387,350284942478294,350776872478293,8991102406391710000,5754228294856,ambulance,Kolkata,Malda,Kishorpur-Chandermore
1098,JH10AT3517,350284942930906,350776872930905,8991102406391710000,5754228294811,patrol vehicle,Kolkata,Durgapur,Beliyad
1099,WB37K1555,350284942932514,350776872932513,8991102406391710000,5754228294801,ambulance,Kolkata,Durgapur,Banskopa
1100,WB37E0965,350284942979952,350776872979951,8991102406391710000,5754228294820,patrol vehicle,Kolkata,Durgapur,Banskopa
1101,WB66P7811,350284942932571,350776872932570,8991102406391710000,5754228294886,crane,Kolkata,Malda,Gopgram-Shibpur
1102,MH05EL1042,350284942979937,350776872979936,8991102406340330000,5754224788444,ambulance,Chandigarh,Ludhiana,Chahar
1103,MH05EA3392,350284942480613,350776872480612,8991102406340330000,5754224788446,crane,Chandigarh,Ludhiana,Chahar
1104,HPCHYD25NRM000101,350284942980018,350776872980017,8991102406340330000,5754224788448,crane,Chandigarh,Ludhiana,Darapur TP
1105,PB30AB1548,350284942978707,350776872978706,8991102406340330000,5754224788447,patrol vehicle,Chandigarh,Ludhiana,Darapur TP
1106,PB10GK1662,350284942978749,350776872978748,8991102406340330000,5754224788445,patrol vehicle,Chandigarh,Ludhiana,Chahar
1107,PB03BR2133,350284942978731,350776872978730,8991102406340330000,5754224788463,ambulance,Chandigarh,Ludhiana,Gurhe
1108,PB30AB4948,350284942980521,350776872980520,,,ambulance,Chandigarh,Ludhiana,Darapur TP
1109,WB781463,350284942885373,350776872885372,8991102406391714092u,5754228270948,crane,Jabalpur,Gwalior,Mudkhera
1110,JK02DH5183,350284942981479,350776872981478,8991102406367990000,5754226697262,patrol vehicle,Jammu,Ramban,Lamber
1111,BR10PB0151,350284942978681,350776872978680,8991102406367900000,5754226687778,ambulance,Patna,Bhagalpur,Malhipur Toll Plaza
1112,BR01PH3032,350284942413788,350776872413787,8991102406367900000,5754226687779,ambulance,Patna,Begusarai,Balgudar
1113,BR06G4947,350284942982212,350776872982211,8991102406367900000,5754226687769,crane,Patna,Begusarai,Balgudar
1114,BR01GE0291,350284942986346,350776872986345,8991102406367900000,5754226687767,patrol vehicle,Patna,Begusarai,Balgudar
1115,BR09GC4319,350284942981339,350776872981338,8991102406367900000,5754226687766,patrol vehicle,Patna,Bhagalpur,Malhipur Toll Plaza
1116,RJ07PB3881,350284942429933,350776872429932,8991102406367900000,5754226687685,ambulance,Jaipur,Hanumangarh,Norangdesar
1117,HR98B7151,350284942960044,350776872960043,8991102406367900000,5754226687750,crane,Chandigarh,Sonipat,Jharothi
1118,HR39E8390,350284942960960,350776872960969,8991102406367900000,5754226687748,patrol vehicle,Chandigarh,Sonipat,Jharothi
1119,HR69F7616,350284942960226,350776872960225,8991102406367900000,5754226687745,patrol vehicle,Chandigarh,Sonipat,Puthi Toll Plaza
1120,RJ07EA1858,350284942845476,350776872845475,,,crane,Jaipur,Hanumangarh,Deshnok
1121,RJ07PB5766,350284942954484,350776872954483,8991102406367900000,5754226687704,ambulance,Jaipur,Hanumangarh,Deshnok
1122,RJ07EA1739,350284942954633,350776872954632,8991102406367900000,5754226687706,crane,Jaipur,Hanumangarh,Norangdesar
1123,RJ13PA8418,350284942406816,350776872406815,8991102406367900000,5754226687684,ambulance,Jaipur,Hanumangarh,Uchharangdesar
1124,AE431203AE3441093,350284942418225,350776872418224,8991102406367900000,5754226687686,crane,Jaipur,Hanumangarh,Uchharangdesar
1125,RJ07GD7730,350284942418142,350776872418141,8991102406367900000,5754226687705,patrol vehicle,Jaipur,Hanumangarh,Norangdesar
1126,HR11R2180,350284942979275,350776872979274,,,Crane,Chandigarh,Sonipat,Puthi Toll Plaza
1127,HR58B9170,350284942979994,350776872979993,8991102406367900000,5754226687746,ambulance,Chandigarh,Sonipat,Puthi Toll Plaza
1128,WB37K2555,350284942978715,350776872978714,8991102406391710000,5754228294812,ambulance,Kolkata,Durgapur,Banskopa
1129,HR30AA7226,350284942980562,350776872980561,8991102406391710000,5754228294752,crane,Bangalore,Chitradurga,Guilalu
1130,WB41C5536,350284942978624,350776872978623,8991102406391710000,5754228294763,crane,Kolkata,Durgapur,Banskopa
1131,MH10CR6733,350284942948221,350776872948220,8991102406391710000,5754228294751,Ambulance,Bangalore,Chitradurga,Guilalu
1132,HR39E5052,350284942975497,350776872975496,8991102406391710000,5754228294749,patrol vehicle,Bangalore,Chitradurga,Guilalu
1133,MH13ES0684,350284942974821,350776872974820,8991102406391710000,5754228294757,crane,Bangalore,Chitradurga,Karjeevanahalli
1134,MH10CR1867,350284942963444,350776872963443,8991102406391710000,5754228294755,ambulance,Bangalore,Chitradurga,Karjeevanahalli
1135,HR39E5091,350284942974995,350776872974994,8991102406391710000,5754228294754,patrol vehicle,Bangalore,Chitradurga,Karjeevanahalli
1136,WB37E1090,350284942963709,350776872963708,8991102406391710000,5754228294808,patrol vehicle,Kolkata,Durgapur,Banskopa
1137,PB10JA0872,350284942930278,350776872930277,8991102406340330000,5754224788456,crane,Chandigarh,Ludhiana,Ferozeshah
1138,PB10JA0927,350284942964731,350776872964730,8991102406340330000,5754224788449,crane,Chandigarh,Ludhiana,Karahewala
1139,PB03BQ9533,350284942932621,350776872932620,8991102406340330000,5754224788461,patrol vehicle,Chandigarh,Ludhiana,Gurhe
1140,PB10HV3752,350284942961570,350776872961579,8991102406340330000,5754224788458,patrol vehicle,Chandigarh,Ludhiana,Karahewala
1141,PB10HY3754,350284942997053,350776872997052,8991102406340330000,5754224788457,patrol vehicle,Chandigarh,Ludhiana,Ferozeshah
1142,HPCHYD25NRM000100,350284942946571,350776872946570,8991102406340330000,5754224788460,crane,Chandigarh,Ludhiana,Gurhe
1143,PB10HL3619,350284942933322,350776872933321,8991102406340330000,5754224788450,ambulance,Chandigarh,Ludhiana,Ferozeshah
1144,PB10JB9654,350284942930609,350776872930608,8991102406340330000,5754224788459,ambulance,Chandigarh,Ludhiana,Karahewala
1145,JK182639,350284942947298,350776872947297,8991102406367990000,5754226697210,Ambulance,Jammu,Ramban,Ujroo
1146,RJ14EA1298,350284942416286,350776872416285,8991102406367900000,5754226687768,crane,Patna,Begusarai,Shahpur Toll Plaza
1147,AS14AC3161,350284942986064,350776872986063,8991102406367900000,5754226687780,patrol vehicle,Patna,Bhagalpur,Bhagalpur
1148,AS14R7626,350284942984259,350776872984258,8991102406367900000,5754226687777,crane,Patna,Bhagalpur,Bhagalpur
1149,RJ11PA6695,350284942959814,350776872959813,8991102406367900000,5754226687781,ambulance,Patna,Bhagalpur,Bhagalpur
1150,HR39E3555,350284942954591,350776872954590,8991102406367900000,5754226687744,ambulance,Chandigarh,Sonipat,Chhara
1151,HR55AV6002,350284942954880,350776872954889,8991102406367900000,5754226687735,patrol vehicle,Chandigarh,Sonipat,Chhara
1152,HR57A2177,350284942961059,350776872961058,8991102406367900000,5754226687734,patrol vehicle,Chandigarh,Sonipat,Bhartana Toll Plaza
1153,HR26EB5114,350284942954799,350776872954798,8991102406367900000,5754226687738,crane,Chandigarh,Sonipat,Chhara
1154,MC1E4CLA2SP082089,350284942960135,350776872960134,8991102406367900000,5754226687736,ambulance,Delhi,Bhiwani-Delhi,Chabri Toll Plaza
1155,AR06C0174,350284942959855,350776872959854,8991102406367900000,5754226687737,crane,Chandigarh,Sonipat,Bhartana Toll Plaza
1156,CG04NM9067,350284942960853,350776872960852,8991102406391710000,5754228294824,ambulance,Kolkata,Durgapur,Kalapathar
1157,CG04NM9064,350284942950789,350776872950788,8991102406391710000,5754228294823,ambulance,Kolkata,Durgapur,Ladhurka
1158,CG04NM2102,350284942952215,350776872952214,8991102406391710000,5754228294848,ambulance,Kolkata,Durgapur,Mejia
1159,CKIPL014EN0600154,350284942952447,350776872952446,8991102406340330000,5754224788453,Crane,Chandigarh,Ludhiana,Mallian TP
1160,HR69B9083,350284942957651,350776872957650,8991102406340330000,5754224788454,ambulance,Chandigarh,Ludhiana,Mallian TP
1161,RJ11PA4868,350284942952231,350776872952230,8991102406340330000,5754224788451,ambulance,Chandigarh,Ludhiana,Ladowal
1162,HR849036,350284942952991,350776872952990,8991102406340330000,5754224788452,patrol vehicle,Chandigarh,Ludhiana,Mallian TP
1163,RJ11PA4871,350284942953833,350776872953832,8991102406340330000,5754224788455,ambulance,Chandigarh,Ludhiana,Ladowal
